word	language	count
코	ko	3116
계열	ko	3116
레	ko	3115
맺	ko	3114
유일	ko	3113
아도	ko	3111
신라	ko	3108
결성	ko	3103
는지	ko	3097
북부	ko	3092
체계	ko	3090
키	ko	3084
작가	ko	3083
우주	ko	3082
시설	ko	3079
승	ko	3073
붙이	ko	3051
마	ko	3049
전기	ko	3048
달러	ko	3046
해석	ko	3044
북	ko	3041
스페인	ko	3038
라디오	ko	3037
이어지	ko	3033
고자	ko	3029
확장	ko	3022
용어	ko	3022
연방	ko	3021
처리	ko	3019
단계	ko	3018
강화	ko	3018
유래	ko	3014
조건	ko	3001
행동	ko	2998
특별	ko	2994
몸	ko	2986
단위	ko	2985
정하	ko	2985
포	ko	2979
특정	ko	2975
승강장	ko	2974
방문	ko	2968
관심	ko	2964
죽음	ko	2957
소프트웨어	ko	2954
통일	ko	2953
씩	ko	2952
부인	ko	2948
설계	ko	2947
명령	ko	2944
표준	ko	2941
원인	ko	2940
모	ko	2939
노력	ko	2936
존	ko	2934
문학	ko	2932
명단	ko	2928
장관	ko	2927
행사	ko	2924
편성	ko	2924
제한	ko	2920
지휘	ko	2917
반응	ko	2908
구역	ko	2907
시도	ko	2906
외부	ko	2905
기후	ko	2900
로써	ko	2893
확인	ko	2893
요	ko	2891
개월	ko	2890
요청	ko	2881
장군	ko	2874
문서	ko	2872
위원	ko	2867
행성	ko	2867
발	ko	2860
조정	ko	2848
땅	ko	2848
공동	ko	2840
입장	ko	2837
ㄴ지	ko	2837
야구	ko	2832
사고	ko	2823
접하	ko	2822
실제	ko	2822
준비	ko	2821
자주	ko	2816
수도	ko	2816
체	ko	2814
마치	ko	2811
갖추	ko	2807
성적	ko	2805
나서	ko	2802
질량	ko	2800
피해	ko	2798
엔진	ko	2795
수준	ko	2793
개요	ko	2793
정식	ko	2792
이외	ko	2791
참조	ko	2789
파리	ko	2786
만화	ko	2786
자동차	ko	2785
토	ko	2780
통과	ko	2778
연호	ko	2778
성격	ko	2760
예정	ko	2759
출판	ko	2756
실험	ko	2749
평균	ko	2749
동일	ko	2745
원소	ko	2744
분리	ko	2742
요소	ko	2741
완전히	ko	2737
회장	ko	2735
부문	ko	2728
색	ko	2721
제품	ko	2719
권력	ko	2717
거주	ko	2716
기초	ko	2712
면적	ko	2710
잃	ko	2710
롭	ko	2709
지키	ko	2707
동부	ko	2706
죽이	ko	2701
배경	ko	2700
아시아	ko	2698
정당	ko	2697
스스로	ko	2696
표시	ko	2692
파견	ko	2687
스럽	ko	2680
기사	ko	2680
이해	ko	2674
패	ko	2672
즉위	ko	2671
성립	ko	2666
단어	ko	2664
도움	ko	2657
버스	ko	2655
바탕	ko	2646
항목	ko	2644
거부	ko	2640
그대로	ko	2632
강력	ko	2626
연속	ko	2615
소리	ko	2614
들어오	ko	2614
티	ko	2612
통치	ko	2609
언급	ko	2609
발행	ko	2609
집단	ko	2607
폐지	ko	2602
출전	ko	2601
믿	ko	2596
인접	ko	2594
마을	ko	2590
이곳	ko	2585
추정	ko	2584
번역	ko	2578
만큼	ko	2575
목표	ko	2575
도로	ko	2574
시민	ko	2570
생	ko	2567
빛	ko	2565
인사	ko	2563
향하	ko	2563
불구	ko	2555
대로	ko	2546
직후	ko	2544
데이터	ko	2542
수많	ko	2539
외교	ko	2538
관측	ko	2538
예수	ko	2529
작용	ko	2528
한국어	ko	2526
계산	ko	2521
빠지	ko	2520
친구	ko	2519
지도	ko	2519
문헌	ko	2514
정리	ko	2510
귀국	ko	2510
지리	ko	2510
텔레비전	ko	2507
일정	ko	2506
부정	ko	2502
지도자	ko	2502
백	ko	2501
돌아가	ko	2501
북한	ko	2496
함수	ko	2494
모으	ko	2491
팬	ko	2490
작곡	ko	2488
육군	ko	2482
의회	ko	2480
반면	ko	2479
출시	ko	2475
의사	ko	2474
조선민주주의인민공화국	ko	2473
경기도	ko	2465
무기	ko	2458
동물	ko	2456
관	ko	2455
불교	ko	2452
대중	ko	2450
제정	ko	2447
해군	ko	2446
루	ko	2444
배치	ko	2439
베	ko	2436
캐나다	ko	2435
공사	ko	2434
오스트리아	ko	2425
옛	ko	2423
제기	ko	2423
온도	ko	2419
취임	ko	2412
다니	ko	2411
신문	ko	2406
학문	ko	2405
파괴	ko	2405
국회의원	ko	2404
저서	ko	2404
언론	ko	2400
흐르	ko	2400
먼저	ko	2400
예술	ko	2397
나중	ko	2397
잉글랜드	ko	2395
수립	ko	2394
지적	ko	2394
디자인	ko	2394
후반	ko	2390
고등학교	ko	2389
철학	ko	2383
정규	ko	2381
정신	ko	2373
남자	ko	2372
표	ko	2367
뉴욕	ko	2367
지속	ko	2365
뛰어나	ko	2364
돈	ko	2363
넓	ko	2363
둘	ko	2363
캐릭터	ko	2360
대륙	ko	2359
벌어지	ko	2358
치르	ko	2357
담	ko	2356
구하	ko	2355
적극	ko	2354
겪	ko	2353
항	ko	2350
미치	ko	2345
경계	ko	2344
실행	ko	2344
가정	ko	2337
마찬가지	ko	2336
무렵	ko	2335
체포	ko	2331
이듬해	ko	2331
전문	ko	2330
부상	ko	2327
지대	ko	2326
체결	ko	2324
귀족	ko	2324
디	ko	2322
초대	ko	2320
확대	ko	2318
개국	ko	2318
메	ko	2318
동생	ko	2317
학자	ko	2316
절	ko	2315
국회	ko	2313
연기	ko	2307
계기	ko	2305
다수	ko	2304
주의	ko	2302
총리	ko	2302
제안	ko	2294
소개	ko	2293
시험	ko	2292
저	ko	2291
사후	ko	2289
도착	ko	2289
결합	ko	2286
가톨릭	ko	2285
매	ko	2285
경영	ko	2284
동맹	ko	2282
붙	ko	2281
의견	ko	2280
부산	ko	2280
싸우	ko	2276
요리	ko	2274
패배	ko	2273
항공	ko	2271
김	ko	2264
밖에	ko	2263
코드	ko	2261
상징	ko	2258
인식	ko	2258
협력	ko	2250
지명	ko	2250
나머지	ko	2250
역임	ko	2249
프로젝트	ko	2249
완성	ko	2246
법률	ko	2243
각종	ko	2242
방영	ko	2240
폴란드	ko	2240
고구려	ko	2240
방	ko	2238
이집트	ko	2236
최종	ko	2235
경험	ko	2233
컵	ko	2227
전차	ko	2223
특성	ko	2221
연주	ko	2219
대체	ko	2217
완전	ko	2215
접근	ko	2215
금지	ko	2214
바다	ko	2212
가입	ko	2212
아프리카	ko	2211
공부	ko	2210
박정희	ko	2207
반란	ko	2206
일본군	ko	2206
금	ko	2204
근처	ko	2202
건	ko	2202
느끼	ko	2202
몇몇	ko	2200
측정	ko	2198
병력	ko	2198
았었	ko	2191
품	ko	2188
정확	ko	2187
스포츠	ko	2186
해결	ko	2185
네덜란드	ko	2185
설정	ko	2181
량	ko	2180
러	ko	2178
근거	ko	2178
줄이	ko	2176
장소	ko	2176
업무	ko	2165
류	ko	2161
분석	ko	2156
유사	ko	2156
테	ko	2154
보유	ko	2151
취하	ko	2147
안정	ko	2147
다만	ko	2147
비난	ko	2146
물론	ko	2146
생성	ko	2144
세상	ko	2143
여름	ko	2141
기구	ko	2139
영	ko	2133
모르	ko	2132
세대	ko	2131
연대	ko	2127
저항	ko	2120
기계	ko	2115
식민지	ko	2115
행하	ko	2114
장면	ko	2114
입학	ko	2113
카드	ko	2112
다면	ko	2112
경쟁	ko	2112
그해	ko	2109
듣	ko	2109
ㄴ가	ko	2104
짧	ko	2104
머리	ko	2103
고종	ko	2100
중단	ko	2099
박사	ko	2099
재위	ko	2094
풀	ko	2090
암살	ko	2084
경기장	ko	2083
공업	ko	2080
해외	ko	2079
병사	ko	2079
강점기	ko	2079
해방	ko	2077
정치인	ko	2077
한자	ko	2076
근대	ko	2070
약간	ko	2067
주제	ko	2063
더불	ko	2059
평화	ko	2057
제거	ko	2057
살해	ko	2056
형제	ko	2056
제시	ko	2054
법칙	ko	2053
지위	ko	2052
사회주의	ko	2050
통신	ko	2046
신화	ko	2045
점차	ko	2041
마음	ko	2039
ㄴ다면	ko	2038
의식	ko	2037
공항	ko	2037
걸리	ko	2035
런던	ko	2035
서울특별시	ko	2034
터	ko	2032
은퇴	ko	2018
훈련	ko	2017
세포	ko	2016
기념	ko	2016
붕괴	ko	2015
전달	ko	2015
스타	ko	2008
깊	ko	2007
록	ko	2007
변하	ko	2006
표면	ko	2006
맞추	ko	2005
디지털	ko	2004
복귀	ko	2001
가치	ko	1996
그래서	ko	1996
대립	ko	1996
묘사	ko	1992
낳	ko	1991
행	ko	1978
보도	ko	1975
다리	ko	1972
당선	ko	1968
움직이	ko	1968
박	ko	1968
연구소	ko	1967
국가대표팀	ko	1963
비트	ko	1961
계승	ko	1960
무역	ko	1959
기원	ko	1957
청	ko	1955
평	ko	1951
독자	ko	1949
본래	ko	1947
숫자	ko	1943
짓	ko	1939
모이	ko	1937
사라지	ko	1936
부여	ko	1936
계급	ko	1932
시행	ko	1931
지점	ko	1929
백제	ko	1926
라며	ko	1923
침공	ko	1921
주목	ko	1918
봉	ko	1916
극	ko	1914
위험	ko	1913
창	ko	1911
궤도	ko	1910
무장	ko	1910
입자	ko	1908
센터	ko	1907
심하	ko	1906
개통	ko	1905
